location,population,HighestInfection,PercentPopulationInfected
Andorra,77354.0,29888.0,38.637950202963
Montenegro,628051.0,202348.0,32.218402645645
Gibraltar,33691.0,10725.0,31.8334273248048
Seychelles,98910.0,31098.0,31.440703670003
San Marino,34010.0,10350.0,30.4322258159365
Aruba,107195.0,30420.0,28.3781892812165
Slovakia,5460726.0,1414154.0,25.8968129878701
Slovenia,2078723.0,527311.0,25.3670642986103
Cyprus,896005.0,223767.0,24.9738561726776
Georgia,3979773.0,990183.0,24.8803889066035
Czechia,10724553.0,2587147.0,24.123588181251
Isle of Man,85410.0,19686.0,23.0488233227959
United Kingdom,68207114.0,15183023.0,22.2601750896541
Ireland,4982904.0,1092736.0,21.9297020372056
Lithuania,2689862.0,564039.0,20.9690683016452
Serbia,6871547.0,1425147.0,20.7398275817658
Belgium,11632334.0,2410731.0,20.7243963249336
France,67422000.0,13943971.0,20.6816335914093
Netherlands,17173094.0,3541298.0,20.6211996510355
Bonaire Sint Eustatius and Saba,26445.0,5438.0,20.5634335413122
Estonia,1325188.0,264702.0,19.9746752913549
Curacao,164796.0,32892.0,19.9592223112211
Faeroe Islands,49053.0,9761.0,19.89888487962
Croatia,4081657.0,811703.0,19.8866048764019
United States,332915074.0,65444262.0,19.6579449568571
Luxembourg,634814.0,123340.0,19.4293131531441
Switzerland,8715494.0,1666441.0,19.1204422835929
Israel,9291000.0,1773629.0,19.0897535249166
Denmark,5813302.0,1105037.0,19.0087664463329
Maldives,543620.0,102372.0,18.8315367352195
Liechtenstein,38254.0,7153.0,18.6986981753542
Portugal,10167923.0,1852703.0,18.2210565520608
Cayman Islands,66498.0,11666.0,17.5433847634515
Bahrain,1748295.0,305414.0,17.4692486107894
Spain,46745211.0,8093036.0,17.3130804779125
British Virgin Islands,30423.0,5255.0,17.2731157348059
Monaco,39520.0,6610.0,16.7257085020243
French Polynesia,282534.0,47009.0,16.6383514904401
Latvia,1866934.0,301654.0,16.157721697714
Greece,10370747.0,1650088.0,15.9109850042625
Austria,9043072.0,1428170.0,15.7929738920579
Argentina,45605823.0,7029624.0,15.4138737941425
European Union,447189915.0,68807605.0,15.3866629572807
Sweden,10160159.0,1560363.0,15.3576632019243
Uruguay,3485152.0,500267.0,14.3542376343987
Italy,60367471.0,8549450.0,14.1623458103786
Europe,748962983.0,104505897.0,13.9534128350907
Hungary,9634162.0,1327014.0,13.7740469799034
Bermuda,62092.0,8541.0,13.7553952199961
Anguilla,15125.0,2040.0,13.4876033057851
Panama,4381583.0,567578.0,12.9537201509135
North America,596581283.0,76891390.0,12.8886695226742
Turks and Caicos Islands,39226.0,5025.0,12.8103808698312
Greenland,56868.0,7083.0,12.4551593163115
Malta,516100.0,63409.0,12.2861848478977
Mongolia,3329282.0,407542.0,12.2411378789781
Turkey,85042736.0,10404994.0,12.235017932631
Iceland,368792.0,44974.0,12.1949499989154
Barbados,287708.0,34961.0,12.1515564391675
Lebanon,6769151.0,814631.0,12.0344634061199
Costa Rica,5139053.0,609882.0,11.8675950608021
Bulgaria,6896655.0,818229.0,11.8641428344611
Armenia,2968128.0,347377.0,11.7035720831447
North Macedonia,2082661.0,243284.0,11.681401821996
Poland,37797000.0,4298375.0,11.3722649945763
Dominica,72172.0,7822.0,10.8379981156127
Colombia,51265841.0,5511479.0,10.750782377685
Brazil,213993441.0,22981851.0,10.7395118713008
Suriname,591798.0,63443.0,10.720380940794
Jordan,10269022.0,1097474.0,10.6872300010653
Kuwait,4328553.0,460828.0,10.6462367447043
Qatar,2930524.0,295221.0,10.0740004176727
Belize,404915.0,40612.0,10.0297593322055
Botswana,2397240.0,237678.0,9.91465184962707
Romania,19127772.0,1895833.0,9.91141571532743
South America,434260137.0,42757030.0,9.84594862779219
Chile,19212362.0,1867101.0,9.71822725388997
Moldova,4024025.0,387920.0,9.64009915445356
Cape Verde,561901.0,53987.0,9.60792025641527
Bosnia and Herzegovina,3263459.0,313185.0,9.59671930917471
Germany,83900471.0,7988210.0,9.52105501290928
Kosovo,1782115.0,165363.0,9.27903081450973
Norway,5465629.0,504789.0,9.23569821515511
Saint Lucia,184401.0,16969.0,9.20222775364559
Saint Kitts and Nevis,53546.0,4882.0,9.11739438987039
Palestine,5222756.0,474234.0,9.08014848865235
Ukraine,43466822.0,3929950.0,9.04126370223248
Cuba,11317498.0,995631.0,8.79727126967462
Malaysia,32776195.0,2805337.0,8.55906855570026
Grenada,113015.0,9535.0,8.43693315046675
Albania,2872934.0,230940.0,8.03847216817372
United Arab Emirates,9991083.0,802181.0,8.02896943204255
Bahamas,396914.0,30655.0,7.72333553364205
Belarus,9442867.0,714295.0,7.56438696001966
Peru,33359415.0,2496542.0,7.48377032391006
Iran,85028760.0,6218741.0,7.31369127339973
Russia,145912022.0,10592433.0,7.25946557028728
Canada,38067913.0,2750742.0,7.22588075684632
Saint Pierre and Miquelon,5771.0,415.0,7.19112805406342
Trinidad and Tobago,1403374.0,100590.0,7.16772578086811
Australia,25788217.0,1726116.0,6.69342901837688
Finland,5548361.0,371135.0,6.68909250858046
Paraguay,7219641.0,475686.0,6.58877636713515
Fiji,902899.0,59418.0,6.58080250393455
Tunisia,11935764.0,780746.0,6.54123188092526
Guyana,790329.0,50121.0,6.34178930546646
Bolivia,11832936.0,725459.0,6.13084529486173
Azerbaijan,10223344.0,624918.0,6.11265746315491
Kazakhstan,18994958.0,1134598.0,5.97315350736759
Namibia,2587344.0,154261.0,5.96213723416755
Oman,5223376.0,310338.0,5.94132989851774
South Africa,60041996.0,3556633.0,5.92357555868063
Saint Vincent and the Grenadines,111269.0,6581.0,5.91449550189181
Eswatini,1172369.0,67830.0,5.78572104857771
Libya,6958538.0,396452.0,5.69734619542208
Antigua and Barbuda,98728.0,5321.0,5.38955514139859
Singapore,5453600.0,290986.0,5.33566818248496
Iraq,41179351.0,2110683.0,5.12558587919465
New Caledonia,288217.0,13536.0,4.69646134683242
Dominican Republic,10953714.0,494595.0,4.51531781823042
Oceania,43219954.0,1898093.0,4.39170527576221
Wallis and Futuna,11094.0,454.0,4.09230214530377
Honduras,10062994.0,382440.0,3.80045938614293
Jamaica,2973462.0,110250.0,3.70779919164933
Brunei,441532.0,15797.0,3.57777012764647
Guatemala,18249868.0,651774.0,3.57139021498676
Ecuador,17888474.0,602942.0,3.37056140171599
Mexico,130262220.0,4349182.0,3.33879001908612
Vatican,812.0,27.0,3.32512315270936
Thailand,69950844.0,2308615.0,3.30033902092732
Nepal,29674920.0,849204.0,2.86168926487418
Philippines,111046910.0,3168379.0,2.85318970154145
Kyrgyzstan,6628347.0,188813.0,2.8485684289009
Morocco,37344787.0,1043225.0,2.79349564907145
Sri Lanka,21497306.0,595657.0,2.77084486772436
India,1393409033.0,37122164.0,2.66412540186253
Montserrat,4981.0,129.0,2.58984139730978
Sao Tome and Principe,223364.0,5495.0,2.46010995505095
Falkland Islands,3528.0,85.0,2.4092970521542
Vietnam,98168829.0,2007862.0,2.04531521915169
Gabon,2278829.0,45152.0,1.98136850110298
Asia,4678444992.0,89771303.0,1.91882779755894
Mauritius,1273428.0,24425.0,1.91805111871264
El Salvador,6518500.0,123577.0,1.89578890849122
Saudi Arabia,35340680.0,609953.0,1.7259232137016
